sp;BodyMass.Value;Nocturnal;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;PelagicSpecialist;litter_or_clutch_size_n;litters_or_clutches_per_y;range_m2
Amazona_aestiva;451;0;0;0;0;30;40;30;0;0;3;NA;5.85745E+12
Anodorhynchus_glaucus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1.81085E+11
Aramides_cajaneus;397;0;0;50;50;0;0;0;0;0;4.3;NA;1.30382E+13
Arremon_flavirostris;26.13;0;0;0;80;20;0;0;0;0;2.8;NA;1.94027E+12
Campylopterus_calcirupicola;8.3;0;0;0;0;40;60;0;0;0;2;NA;NA
Cichlocolaptes_mazarbarnetti;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46664287.25
Columbina_cyanopis;45.63;0;0;0;100;0;0;0;0;0;2;NA;2587817647
Columbina_cyanopis;45.63;0;0;0;100;0;0;0;0;0;2;NA;552520242.7
Cotinga_maculata;65;0;0;0;0;30;50;20;0;0;NA;NA;1.0743E+11
Cotinga_maculata;65;0;0;0;0;30;50;20;0;0;NA;NA;30328090905
Cotinga_maculata;65;0;0;0;0;30;50;20;0;0;NA;NA;68068263402
Drymophila_genei;11.08;0;0;0;40;40;20;0;0;0;NA;NA;24960166414
Elaenia_albiceps;15.5;0;0;0;0;0;100;0;0;0;2.4;NA;1.07564E+13
Eleothreptus_candicans;49.3;1;0;0;20;40;40;0;0;0;2;NA;5622691453
Eleothreptus_candicans;49.3;1;0;0;20;40;40;0;0;0;2;NA;3055921558
Eleothreptus_candicans;49.3;1;0;0;20;40;40;0;0;0;2;NA;1.38994E+12
Eleothreptus_candicans;49.3;1;0;0;20;40;40;0;0;0;2;NA;3577599197
Formicivora_acutirostris;10;0;0;0;50;50;0;0;0;0;2;NA;880775217.6
Glaucidium_mooreorum;51;1;0;0;80;10;10;0;0;0;NA;NA;6471474.826
Harpagus_diodon;200;0;0;0;0;0;70;0;30;0;2;NA;2.34556E+12
Harpagus_diodon;200;0;0;0;0;0;70;0;30;0;2;NA;5.18033E+12
Harpagus_diodon;200;0;0;0;0;0;70;0;30;0;2;NA;5.05246E+11
Mergus_octosetaceus;983;0;100;0;0;0;0;0;0;0;8;NA;51321711989
Mergus_octosetaceus;983;0;100;0;0;0;0;0;0;0;8;NA;1.26337E+12
Myrmotherula_snowi;9.59;0;0;0;0;40;60;0;0;0;NA;NA;197954189.6
Myrmotherula_snowi;9.59;0;0;0;0;40;60;0;0;0;NA;NA;87467849.68
Nothura_maculosa;257.48;0;0;0;100;0;0;0;0;0;5.5;NA;5.64526E+12
Ortalis_guttata;547.72;0;0;0;0;0;50;50;0;0;3.5;NA;4.43444E+12
Ortalis_squamata;547.72;0;0;0;0;0;50;50;0;0;3;NA;2.91029E+11
Philydor_novaesi;38;0;0;0;0;50;50;0;0;0;NA;NA;126987498.4
Sporophila_cinnamomea;NA;NA;0;0;50;50;0;0;0;0;3;NA;3.39382E+11
Sporophila_cinnamomea;NA;NA;0;0;50;50;0;0;0;0;3;NA;2.07994E+12
Sporophila_cinnamomea;NA;NA;0;0;50;50;0;0;0;0;3;NA;3.2795E+11
Sporophila_maximiliani;NA;NA;0;0;70;30;0;0;0;0;2;NA;1.62731E+12
Sporophila_maximiliani;NA;NA;0;0;70;30;0;0;0;0;2;NA;1.05712E+11
Sporophila_maximiliani;NA;NA;0;0;70;30;0;0;0;0;2;NA;93741897197
Sporophila_melanogaster;NA;NA;0;0;50;50;0;0;0;0;2;NA;8.19249E+11
Sporophila_melanogaster;NA;NA;0;0;50;50;0;0;0;0;2;NA;17770496550
Sporophila_palustris;NA;NA;0;0;50;50;0;0;0;0;2;NA;86582475625
Sporophila_palustris;NA;NA;0;0;50;50;0;0;0;0;2;NA;1.50153E+12
Sporophila_palustris;NA;NA;0;0;50;50;0;0;0;0;2;NA;9.29278E+11
Synallaxis_cinerea;13.8;0;0;0;20;60;20;0;0;0;NA;NA;24736389180
Taoniscus_nanus;43;0;0;0;80;20;0;0;0;0;3;NA;8.60101E+11
Taoniscus_nanus;43;0;0;0;80;20;0;0;0;0;3;NA;2.22651E+11
Vireo_chivi;16.06;0;0;0;0;0;20;80;0;0;3;NA;2.80234E+12
Vireo_chivi;16.06;0;0;0;0;0;20;80;0;0;3;NA;1.36792E+11
Vireo_chivi;16.06;0;0;0;0;0;20;80;0;0;3;NA;1.1299E+13
Vireo_olivaceus;16.06;0;0;0;0;0;20;80;0;0;3.7;1.5;1.1299E+13
Porphyriops_melanops;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;4.13646E+12
Celeus_galeatus;124;0;0;0;0;50;50;0;0;0;NA;NA;3.66026E+11
Celeus_galeatus;124;0;0;0;0;50;50;0;0;0;NA;NA;1.83809E+11
Suiriri_affinis;22.8;0;0;0;0;10;90;0;0;0;2.5;NA;NA
Paraclaravis_geoffroyi;43.47;0;0;0;100;0;0;0;0;0;2;NA;4.64998E+11
Paraclaravis_geoffroyi;43.47;0;0;0;100;0;0;0;0;0;2;NA;1.48133E+11
Chaetura_meridionalis;22.2;0;0;0;0;0;0;0;100;0;3.75;NA;4.92715E+12
Chaetura_meridionalis;22.2;0;0;0;0;0;0;0;100;0;3.75;NA;1.28476E+12
Chaetura_meridionalis;22.2;0;0;0;0;0;0;0;100;0;3.75;NA;6.5548E+12
Chlorostilbon_lucidus;3.5;0;0;0;0;0;90;10;0;0;2;NA;5.78831E+12
Fulica_armillata;1040;0;70;30;0;0;0;0;0;0;4;NA;2.73358E+12
Chelidoptera_tenebrosa;35.9;0;0;0;0;0;30;30;40;0;1.7;NA;8.68995E+12
Chloroceryle_inda;52.1;0;90;10;0;0;0;0;0;0;4.5;NA;8.41476E+12
Chlorestes_notata;4.2;0;0;0;0;70;30;0;0;0;2;NA;NA
Chondrohierax_uncinatus;286.07;0;0;0;0;50;50;0;0;0;2;NA;8.80053E+12
Chondrohierax_uncinatus;286.07;0;0;0;0;50;50;0;0;0;2;NA;5466357726
Chordeiles_acutipennis;48.42;1;0;0;0;20;70;0;10;0;1.75;1;63250040519
Chordeiles_minor;79.3;1;0;0;0;10;0;0;90;0;2;1;1.38379E+13
Chordeiles_nacunda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45;NA;1.22708E+13
Chrysolampis_mosquitus;3.9;0;0;0;0;50;30;20;0;0;2;NA;7.39781E+12
Strix_huhula;370;1;0;0;10;10;10;70;0;0;1;NA;NA
Strix_virgata;283.97;1;0;0;80;20;0;0;0;0;2.5;NA;NA
Ciconia_maguari;3994.99;0;0;80;20;0;0;0;0;0;3.07;NA;5.04231E+12
Circus_buffoni;507.4;0;0;0;100;0;0;0;0;0;3.75;NA;3.75458E+12
Circus_buffoni;507.4;0;0;0;100;0;0;0;0;0;3.75;NA;2.0224E+12
Circus_cinereus;399.67;0;0;0;60;20;20;0;0;0;3.75;NA;1.2812E+12
Heliodoxa_rubricauda;7.9;0;0;0;0;20;60;20;0;0;2;NA;NA
Coccycua_cinerea;41.04;0;0;0;50;30;20;0;0;0;3;NA;2.25882E+12
Coccycua_cinerea;41.04;0;0;0;50;30;20;0;0;0;3;NA;3.00717E+12
Coccyzus_euleri;52.3;0;0;0;50;30;20;0;0;0;2;NA;9.03635E+12
Coccyzus_americanus;64;0;0;0;0;0;40;60;0;0;3.25;1.5;1.4009E+13
Coccyzus_erythropthalmus;50.9;0;0;0;30;30;30;10;0;0;2,605;1;2.29696E+12
Colaptes_campestris;158;0;0;0;100;0;0;0;0;0;4.75;NA;4.57442E+12
Colaptes_campestris;158;0;0;0;100;0;0;0;0;0;4.5;NA;4.57442E+12
Colaptes_melanochloros;127.27;0;0;0;0;50;50;0;0;0;4;NA;4.72375E+12
Colibri_serrirostris;6.7;0;0;0;0;70;30;0;0;0;2;NA;2.37067E+12
Platyrinchus_mystaceus;9.7;0;0;0;0;80;20;0;0;0;2;NA;95934600.53
Platyrinchus_mystaceus;9.7;0;0;0;0;80;20;0;0;0;2;NA;5.06797E+12
Columbina_picui;47;0;0;0;100;0;0;0;0;0;2;NA;5.73642E+12
Columbina_squammata;52.9;0;0;0;100;0;0;0;0;0;2;NA;4.8144E+12
Coscoroba_coscoroba;4294.78;0;0;50;50;0;0;0;0;0;6;1;2.18959E+12
Coturnicops_notatus;30;0;0;0;80;20;0;0;0;0;3;NA;1.59294E+12
Crax_blumenbachii;3500;0;0;0;60;20;20;0;0;0;2;NA;1.36638E+11
Crax_blumenbachii;3500;0;0;0;60;20;20;0;0;0;2;NA;1149729292
Crax_fasciolata;2600;0;0;0;80;20;0;0;0;0;2;NA;3.40486E+12
Crotophaga_major;148.25;0;0;0;30;20;20;30;0;0;2.45;NA;1.21179E+13
Crypturellus_noctivagus;561.99;0;0;0;100;0;0;0;0;0;4;NA;1.46958E+12
Crypturellus_obsoletus;443.4;0;0;0;100;0;0;0;0;0;4.5;NA;1.84185E+12
Crypturellus_parvirostris;198.99;0;0;0;100;0;0;0;0;0;4.5;NA;6.65957E+12
Crypturellus_undulatus;564.42;0;0;0;100;0;0;0;0;0;4.5;NA;8.5335E+12
Crypturellus_variegatus;378;0;0;0;100;0;0;0;0;0;1;NA;5.43682E+12
Cygnus_melancoryphus;4711.68;0;0;100;0;0;0;0;0;0;5517206478;1;2.47651E+12
Dendrocygna_viduata;689.99;0;80;20;0;0;0;0;0;0;8;1;8.47092E+12
Cypseloides_fumigatus;41.95;0;0;0;0;0;0;0;100;0;1;NA;2.32558E+12
Cypseloides_senex;82.25;0;0;0;0;0;0;0;100;0;NA;NA;2.01535E+12
Discosura_longicaudus;3.4;0;0;0;0;0;20;80;0;0;2;NA;2.15016E+12
Fulica_leucoptera;656;0;10;70;20;0;0;0;0;0;11;NA;3.04159E+12
Diopsittaca_nobilis;150.91;0;0;0;20;20;40;20;0;0;4;NA;4.9521E+11
Discosura_langsdorffi;2.8;0;0;0;0;0;40;60;0;0;2;NA;1.98002E+12
Dromococcyx_pavoninus;46.4;0;0;0;50;50;0;0;0;0;1;NA;3.09999E+12
Elanoides_forficatus;416.24;0;0;0;0;50;50;0;0;0;2;1;1.25528E+13
Hydropsalis_anomala;43.7;1;0;0;20;70;10;0;0;0;2;NA;NA
Nycticryphes_semicollaris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2.53419E+12
Lophornis_chalybeus;3;0;0;0;0;30;60;10;0;0;2;NA;1.8247E+11
Eudocimus_ruber;660.08;0;0;50;50;0;0;0;0;0;2;NA;8.16485E+11
Eupetomena_macroura;9;0;0;0;0;0;60;30;10;0;2;NA;4.59414E+12
Eupsittula_aurea;84.62;0;0;0;70;30;0;0;0;0;2.9;NA;5.76473E+12
Eupsittula_cactorum;139.26;0;0;0;0;50;50;0;0;0;6;NA;1.19523E+12
Falco_rufigularis;163.64;0;0;0;10;30;30;0;30;0;2.5;NA;56956882073
Florisuga_fusca;8.1;0;0;0;0;30;60;0;10;0;2;NA;6.69756E+11
Florisuga_fusca;8.1;0;0;0;0;30;60;0;10;0;2;NA;5481117792
Fulica_rufifrons;644;0;20;60;20;0;0;0;0;0;4.2;NA;1.25602E+12
Pyrrhocoma_ruficeps;15.6;0;0;0;0;80;20;0;0;0;NA;NA;NA
Gallinago_undulata;312.42;0;0;0;100;0;0;0;0;0;2.65;NA;2.58556E+12
Gampsonyx_swainsonii;92.9;0;0;0;100;0;0;0;0;0;2.5;2;1.02662E+13
Geranoaetus_albicaudatus;885;0;0;0;100;0;0;0;0;0;2;1;8.70712E+12
Geranoaetus_albicaudatus;885;0;0;0;100;0;0;0;0;0;2;1;9785796175
Geranoaetus_melanoleucus;2378.62;0;0;0;100;0;0;0;0;0;2;NA;6.80805E+12
Glaucis_dohrnii;5.8;0;0;0;0;100;0;0;0;0;2;NA;1.07928E+11
Glaucis_dohrnii;5.8;0;0;0;0;100;0;0;0;0;2;NA;978169816.8
Glaucis_hirsutus;6.76;0;0;0;0;100;0;0;0;0;2;3;4.34394E+11
Glaucis_hirsutus;6.76;0;0;0;0;100;0;0;0;0;2;3;7.38547E+12
Spinus_magellanicus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;6.07755E+12
Guira_guira;141;0;0;0;70;20;10;0;0;0;8.25;NA;8.02738E+12
Pionopsitta_pileata;119;0;0;0;0;0;60;40;0;0;2;NA;7.28894E+11
Heliactin_bilophus;4.4;0;0;0;0;50;50;0;0;0;2;NA;3.8765E+12
Pionus_maximiliani;293;0;0;0;0;30;50;20;0;0;4;NA;4.525E+12
Pionus_menstruus;251;0;0;0;0;30;50;20;0;0;3.5;NA;8.37482E+12
Pionus_reichenowi;251;0;0;0;0;30;50;20;0;0;3.5;NA;1.33896E+11
Heliomaster_furcifer;5.4;0;0;0;0;20;80;0;0;0;2;NA;2.96818E+12
Heliomaster_squamosus;5.9;0;0;0;0;0;100;0;0;0;2;NA;1.51926E+12
Heliothryx_auritus;5.4;0;0;0;0;0;50;40;10;0;2;NA;6.89348E+12
Vanellus_cayanus;75.76;0;0;0;100;0;0;0;0;0;2;NA;NA
Hydropsalis_maculicaudus;30.3;1;0;0;0;40;40;0;20;0;1;NA;3.27165E+12
Hydropsalis_torquata;58.5;1;0;20;20;20;20;0;20;0;2;NA;7.88216E+12
Ibycter_americanus;624;0;0;0;10;20;50;20;0;0;2.75;NA;8.08712E+12
Hylocharis_chrysura;4.5;0;0;0;0;20;40;30;10;0;2;NA;3.12843E+12
Hylocharis_cyanus;3.3;0;0;0;10;30;30;30;0;0;2;NA;7.032E+12
Ictinia_mississippiensis;276.03;0;0;0;10;10;10;10;60;0;2;1;1.0244E+12
Ictinia_plumbea;249.9;0;0;0;0;0;0;20;80;0;1.45;NA;1.1392E+13
Pyriglena_leuconota;32.3;0;0;0;40;40;20;0;0;0;1.4;NA;1.9826E+12
Ixobrychus_exilis;86.29;0;0;50;50;0;0;0;0;0;4.09;2;2.32971E+12
Ixobrychus_involucris;80.1;0;0;80;20;0;0;0;0;0;3;NA;2.4E+12
Jacamaralcyon_tridactyla;18.3;0;0;0;0;50;50;0;0;0;2;NA;3.8996E+11
Jacana_jacana;106.24;0;0;50;50;0;0;0;0;0;4;NA;1.37833E+13
Sittasomus_griseicapillus;13.12;0;0;0;0;0;50;50;0;0;2.5;NA;1.09118E+13
Anabacerthia_amaurotis;19.2;0;0;0;20;60;20;0;0;0;NA;NA;4.99167E+11
Anabacerthia_amaurotis;19.2;0;0;0;20;60;20;0;0;0;NA;NA;69621247.31
Alectrurus_risora;25;0;0;0;0;80;20;0;0;0;3;NA;98766305625
Alectrurus_risora;25;0;0;0;0;80;20;0;0;0;3;NA;1.35783E+11
Alectrurus_risora;25;0;0;0;0;80;20;0;0;0;3;NA;7.00573E+11
Antilophia_galeata;21.48;0;0;0;0;50;50;0;0;0;2;NA;1.96037E+12
Malacoptila_striata;44.1;0;0;0;50;50;0;0;0;0;4;NA;7.28928E+11
Myiothlypis_leucophrys;14.9;0;0;0;80;20;0;0;0;0;3;NA;8.08585E+11
Batara_cinerea;131;0;0;0;30;30;40;0;0;0;2.4;NA;6.00013E+11
Mareca_sibilatrix;923.16;0;0;30;70;0;0;0;0;0;7;NA;1.37819E+12
Procacicus_solitarius;79.76;0;0;0;0;40;60;0;0;0;2;NA;NA
Calyptura_cristata;5;0;0;0;0;50;50;0;0;0;NA;NA;3118949.118
Calyptura_cristata;5;0;0;0;0;50;50;0;0;0;NA;NA;274854600.6
Calyptura_cristata;5;0;0;0;0;50;50;0;0;0;NA;NA;2640542203
Carpornis_cucullata;74.19;0;0;0;0;50;50;0;0;0;1;NA;2.51728E+11
Casiornis_rufus;24.8;0;0;0;0;40;30;30;0;0;NA;NA;2.80282E+12
Casiornis_rufus;24.8;0;0;0;0;40;30;30;0;0;NA;NA;2.76423E+12
Casiornis_fuscus;19.5;0;0;0;0;40;30;30;0;0;NA;NA;2.10672E+12
Cercomacroides_laeta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;3.93674E+11
Clibanornis_dendrocolaptoides;48.2;0;0;0;60;40;0;0;0;0;NA;NA;4.5298E+11
Colonia_colonus;18.3;0;0;0;0;30;70;0;0;0;2.4;NA;6.76704E+12
Phylloscartes_eximius;7.5;0;0;0;0;0;100;0;0;0;2;NA;NA
Cranioleuca_semicinerea;15;0;0;0;0;0;50;50;0;0;NA;NA;9.87589E+11
Cyanocorax_cyanopogon;146;0;0;0;10;30;30;30;0;0;5;NA;3.06817E+12
Anumara_forbesi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;112337350
Anumara_forbesi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;18687090180
Cyanoloxia_brissonii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;5.85188E+12
Cyanoloxia_glaucocaerulea;18.2;0;0;0;50;50;0;0;0;0;3;NA;6.83559E+11
Cyanoloxia_glaucocaerulea;18.2;0;0;0;50;50;0;0;0;0;3;NA;5.11793E+11
Dacnis_cayana;13;0;0;0;0;0;30;60;10;0;2;NA;56501792441
Phleocryptes_melanops;14.6;0;0;0;100;0;0;0;0;0;2.8;NA;3.00901E+11
Phleocryptes_melanops;14.6;0;0;0;100;0;0;0;0;0;2.8;NA;3.52448E+12
Dysithamnus_stictothorax;16.16;0;0;0;0;30;70;0;0;0;NA;NA;4.15231E+11
Drymophila_rubricollis;10;0;0;0;0;20;80;0;0;0;NA;NA;3.29399E+11
Elaenia_parvirostris;13.8;0;0;0;0;33;33;33;0;0;2.4;NA;8.22436E+12
Elaenia_parvirostris;13.8;0;0;0;0;33;33;33;0;0;2.4;NA;2.74194E+12
Griseotyrannus_aurantioatrocristatus;33;0;0;0;0;33;33;33;0;0;2.8;NA;84511613.01
Griseotyrannus_aurantioatrocristatus;33;0;0;0;0;33;33;33;0;0;2.8;NA;4.04325E+12
Griseotyrannus_aurantioatrocristatus;33;0;0;0;0;33;33;33;0;0;2.8;NA;5.42079E+12
Euphonia_violacea;15;0;0;0;0;30;40;30;0;0;3.75;NA;4.92194E+12
Fluvicola_albiventer;11.6;0;0;0;60;40;0;0;0;0;2.45;NA;2.50333E+12
Fluvicola_albiventer;11.6;0;0;0;60;40;0;0;0;0;2.45;NA;5.61785E+12
Formicivora_iheringi;8.2;0;0;0;30;30;40;0;0;0;NA;NA;1667053403
Formicivora_iheringi;8.2;0;0;0;30;30;40;0;0;0;NA;NA;2592846278
Formicivora_iheringi;8.2;0;0;0;30;30;40;0;0;0;NA;NA;18303690067
