sp;svl_mm;diurnal;nocturnal;Terrestre;Arboricola;Fossorial;Aquatica;litter_or_clutch_size_n;litters_or_clutches_per_y;range_m2
Acratosaura_mentalis;NA;1;0;1;0;1;0;NA;NA;5.30E+11
Acratosaura_spinosa;53;1;0;1;0;0;0;NA;NA;1.26E+11
Alexandresaurus_camacan;66;NA;NA;1;0;0;0;NA;NA;66269725795
Ameiva_ameiva;122.73;1;0;1;0;0;0;4.715;3;1.24E+13
Ameivula_abaetensis;54.8;1;0;1;0;1;0;4;NA;1.05E+11
Ameivula_cipoensis;63.2;1;0;1;0;0;0;NA;NA;679066387.1
Ameivula_littoralis;62;1;0;1;0;1;0;5.2;NA;74091833054
Ameivula_nativo;49;1;0;1;0;1;0;4;NA;28399716248
Ameivula_ocellifera;65.33;1;0;1;0;0;0;2.1;3.9;6.69E+12
Amerotyphlops_arenensis;233;0;1;0;0;1;0;NA;NA;9.996.351.144
Amerotyphlops_brongersmianus;325;0;1;0;0;1;0;5;NA;1.35E+13
Amerotyphlops_paucisquamus;158;0;1;0;0;1;0;3;NA;97487956054
Amerotyphlops_reticulatus;536;0;1;0;0;1;0;10;NA;1.07E+13
Amnesteophis_melanauchen;NA;NA;NA;1;0;0;0;NA;NA;2.807.299.495
Amphisbaena_alba;587.6;1;1;1;0;1;0;12;NA;1.36E+13
Amphisbaena_albocingulata;137;NA;NA;0;0;1;0;NA;NA;3.09E+11
Amphisbaena_amazonica;500;NA;NA;0;0;1;0;NA;NA;3.71E+12
Amphisbaena_angustifrons;253;NA;NA;0;0;1;0;NA;NA;9.41E+11
Amphisbaena_bahiana;207;NA;NA;0;0;1;0;NA;NA;19992702.64
Amphisbaena_camura;206;0;1;0;0;1;0;NA;NA;4.78E+11
Amphisbaena_darwini;199;NA;NA;0;0;1;0;NA;NA;1.97E+12
Amphisbaena_dubia;231;0;1;0;0;1;0;4;NA;1.50E+11
Amphisbaena_fuliginosa;220;1;1;0;0;1;0;NA;NA;8.75E+12
Amphisbaena_heathi;187;NA;NA;0;0;1;0;NA;NA;2485869826
Amphisbaena_heterozonata;207;NA;NA;0;0;1;0;NA;NA;2.01E+12
Amphisbaena_hogei;191;NA;NA;0;0;1;0;NA;NA;53183750212
Amphisbaena_infraorbitale;461;NA;NA;0;0;1;0;6;NA;48235334659
Amphisbaena_kingii;201.5;NA;NA;0;0;1;0;3;1;1.39E+12
Amphisbaena_leucocephala;240;NA;NA;0;0;1;0;NA;NA;9.996.351.363
Amphisbaena_lumbricalis;247;NA;NA;0;0;1;0;NA;NA;2249711653
Amphisbaena_mertensii;250;NA;NA;0;0;1;0;7;NA;5.44E+11
Amphisbaena_metallurga;175;NA;NA;0;0;1;0;NA;NA;9.996.351.362
Amphisbaena_microcephalum;390;NA;NA;0;0;1;0;5;NA;1.42E+12
Amphisbaena_munoai;219;NA;NA;0;0;1;0;1.8;NA;2.74E+11
Amphisbaena_neglecta;161;NA;NA;0;0;1;0;NA;NA;5.56E+11
Amphisbaena_nigricauda;123.04;NA;NA;0;0;1;0;2;NA;1.17E+11
Amphisbaena_octostegum;NA;NA;NA;0;0;1;0;NA;NA;1606438313
Leposternon_polystegum ;30;NA;NA;0;0;1;0;6;NA;NA
Amphisbaena_pretrei;255;1;1;0;0;1;0;NA;NA;5.04E+11
Amphisbaena_prunicolor;206;NA;NA;0;0;1;0;NA;NA;5.54E+11
Amphisbaena_roberti;231;NA;NA;0;0;1;0;6;NA;1.60E+11
Amphisbaena_sanctaeritae;165;NA;NA;0;0;1;0;NA;NA;9.996.351.352
Amphisbaena_scutigerum;NA;NA;NA;0;0;1;0;NA;NA;1621007659
Amphisbaena_trachura;208;NA;NA;0;0;1;0;NA;NA;9.16E+11
Amphisbaena_vermicularis;254;1;1;0;0;1;0;4;NA;9.90E+11
Amphisbaena_wiedi;500;NA;NA;0;0;1;0;NA;NA;85049802731
Amphisbaena_wuchereri;NA;NA;NA;0;0;1;0;NA;NA;1.70E+11
Anilius_scytale;635;1;1;1;0;1;0;11;NA;7.90E+12
