"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"1" "Amazona_aestiva" "451" 0 0 0 0 30 40 30 0 0
"2" "Anodorhynchus_glaucus" NA NA NA NA NA NA NA NA NA NA
"3" "Aramides_cajaneus" "397" 0 0 50 50 0 0 0 0 0
"4" "Arremon_flavirostris" "26.13" 0 0 0 80 20 0 0 0 0
"6" "Cichlocolaptes_mazarbarnetti" NA NA NA NA NA NA NA NA NA NA
"7" "Columbina_cyanopis" "45.63" 0 0 0 100 0 0 0 0 0
"8" "Cotinga_maculata" "65" 0 0 0 0 30 50 20 0 0
"9" "Drymophila_genei" "11.08" 0 0 0 40 40 20 0 0 0
"10" "Elaenia_albiceps" "15.5" 0 0 0 0 0 100 0 0 0
"11" "Eleothreptus_candicans" "49.3" 1 0 0 20 40 40 0 0 0
"12" "Formicivora_acutirostris" "10" 0 0 0 50 50 0 0 0 0
"13" "Glaucidium_mooreorum" "51" 1 0 0 80 10 10 0 0 0
"14" "Harpagus_diodon" "200" 0 0 0 0 0 70 0 30 0
"15" "Mergus_octosetaceus" "983" 0 100 0 0 0 0 0 0 0
"16" "Myrmotherula_snowi" "9.59" 0 0 0 0 40 60 0 0 0
"17" "Nothura_maculosa" "257.48" 0 0 0 100 0 0 0 0 0
"18" "Ortalis_guttata" "547.72" 0 0 0 0 0 50 50 0 0
"19" "Ortalis_squamata" "547.72" 0 0 0 0 0 50 50 0 0
"20" "Philydor_novaesi" "38" 0 0 0 0 50 50 0 0 0
"21" "Sporophila_cinnamomea" NA NA 0 0 50 50 0 0 0 0
"22" "Sporophila_maximiliani" NA NA 0 0 70 30 0 0 0 0
"23" "Sporophila_melanogaster" NA NA 0 0 50 50 0 0 0 0
"24" "Sporophila_palustris" NA NA 0 0 50 50 0 0 0 0
"25" "Synallaxis_cinerea" "13.8" 0 0 0 20 60 20 0 0 0
"26" "Taoniscus_nanus" "43" 0 0 0 80 20 0 0 0 0
