"sp" "body_mass_g.avg." "fossorial" "ground_dwelling" "aboveground_dwelling" "aquatic" "cathemeral" "crepuscular" "diurnal" "nocturnal"
"1" "Abrawayaomys_chebezi" NA NA NA NA NA NA NA NA NA
"2" "Abrawayaomys_ruschii" "62.99" 0 1 0 0 NA NA NA NA
"3" "Akodon_azarae" "25.27" 1 1 0 0 0 0 1 1
"4" "Akodon_cursor" "39.84" 0 1 0 0 0 0 0 1
"5" "Akodon_lindberghi" "26.4" 0 1 0 0 NA NA NA NA
"6" "Akodon_montensis" "44.1" 0 1 0 0 0 1 0 0
"7" "Akodon_mystax" "19" 0 1 0 0 NA NA NA NA
"8" "Akodon_paranaensis" "32.4" 0 1 0 0 0 1 0 0
"9" "Akodon_philipmyersi" "23" 0 1 0 0 0 0 0 1
"10" "Akodon_sanctipaulensis" "27.1" 0 1 0 0 NA NA NA NA
"11" "Akodon_serrensis" "28.3" 0 1 0 0 0 0 1 1
"12" "Alouatta_belzebul" "6157.91" 0 0 1 0 0 0 1 0
"13" "Alouatta_caraya" "5576.96" 0 0 1 0 0 0 1 0
"14" "Alouatta_guariba" "5188.33" 0 0 1 0 0 0 1 0
"15" "Bibimys_chacoensis" "28" 0 1 0 0 NA NA NA NA
"16" "Bibimys_labiosus" "30" 0 1 0 0 NA NA NA NA
"17" "Blarinomys_breviceps" "36.79" 1 1 0 0 0 0 0 1
"18" "Blastocerus_dichotomus" "112518.53" 0 1 0 0 0 0 1 0
"19" "Brachyteles_arachnoides" "10537.31" 0 0 1 0 0 0 1 0
"20" "Brachyteles_hypoxanthus" "8250" 0 0 1 0 0 0 1 0
"21" "Bradypus_torquatus" "4468.42" 0 0 1 0 0 0 0 1
"22" "Bradypus_variegatus" "4136.36" 0 0 1 0 1 0 0 0
"23" "Brucepattersonius_griserufescens" "23.7" 1 1 0 0 NA NA NA NA
"24" "Brucepattersonius_guarani" "32" 1 1 0 0 NA NA NA NA
"25" "Brucepattersonius_igniventris" "32" 1 1 0 0 NA NA NA NA
"26" "Brucepattersonius_iheringi" "43" 1 1 0 0 NA NA NA NA
"27" "Brucepattersonius_misionensis" "43" 1 1 0 0 NA NA NA NA
"28" "Brucepattersonius_paradisus" "42" 1 1 0 0 NA NA NA NA
"29" "Brucepattersonius_soricinus" "31.36" 1 1 0 0 NA NA NA NA
"30" "Cabassous_tatouay" "5349.95" 1 0 0 0 0 0 0 1
"31" "Cabassous_unicinctus" "3987.97" 1 0 0 0 0 0 0 1
"32" "Callicebus_barbarabrownae" "1390.8" 0 0 1 0 0 1 0 0
"33" "Callicebus_coimbrai" "1235" 0 0 1 0 0 0 1 0
"34" "Callicebus_melanochir" "1209.57" 0 0 1 0 0 0 1 0
"35" "Callicebus_nigrifrons" "1390.8" 0 0 1 0 0 0 1 0
"36" "Callicebus_personatus" "1390.8" 0 0 1 0 0 0 1 0
"37" "Callistomys_pictus" "518.99" 0 1 1 0 0 0 0 1
"38" "Callithrix_aurita" "386.2" 0 0 1 0 0 0 1 0
"39" "Callithrix_flaviceps" "372.97" 0 0 1 0 0 0 1 0
"40" "Callithrix_geoffroyi" "342" 0 0 1 0 0 0 1 0
"41" "Callithrix_jacchus" "290.21" 0 0 1 0 0 0 1 0
"42" "Callithrix_kuhlii" "374.99" 0 0 1 0 0 0 1 0
"43" "Callithrix_penicillata" "339.98" 0 0 1 0 0 0 1 0
"44" "Calomys_callosus" "44.95" 1 1 0 0 0 0 0 1
"45" "Calomys_expulsus" "39.86" 0 1 0 0 0 1 0 1
"46" "Calomys_laucha" "14" 0 1 1 0 NA NA NA NA
"47" "Calomys_tener" "13.8" 0 1 0 0 0 0 0 1
"48" "Caluromys_lanatus" "350.33" 0 0 1 0 0 0 0 1
"49" "Caluromys_philander" "265" 0 0 1 0 0 0 0 1
"50" "Carterodon_sulcidens" "113.8" 1 1 0 0 0 0 0 1
"51" "Cavia_aperea" "524.38" 0 1 0 0 1 0 0 0
"52" "Cavia_fulgida" "282.5" 0 1 0 0 0 0 1 1
"53" "Cavia_magna" "459.99" 0 1 0 0 0 1 1 0
"54" "Cerdocyon_thous" "5741.66" 0 1 0 0 0 0 0 1
"55" "Cerradomys_maracajuensis" "91" 0 1 0 0 NA NA NA NA
"56" "Cerradomys_scotti" "91.95" 0 1 1 0 NA NA NA NA
"57" "Cerradomys_subflavus" "49.91" 0 1 1 0 0 0 0 1
"59" "Chaetomys_subspinosus" "1299.99" 0 0 1 0 0 0 1 1
"62" "Chironectes_minimus" "700" 1 1 0 1 0 0 0 1
