"Akodon_cursor" "Akodon_montensis" "Akodon_paranaensis" "Akodon_philipmyersi" "Akodon_serrensis" "Alouatta_belzebul" "Alouatta_caraya" "Alouatta_guariba" "Blarinomys_breviceps" "Blastocerus_dichotomus" "Brachyteles_arachnoides" "Brachyteles_hypoxanthus" "Bradypus_torquatus" "Bradypus_variegatus" "Cabassous_unicinctus" "Callicebus_coimbrai" "Callicebus_nigrifrons" "Callicebus_personatus" "Callistomys_pictus" "Callithrix_aurita" "Callithrix_geoffroyi" "Callithrix_jacchus" "Callithrix_kuhlii" "Callithrix_penicillata" "Calomys_callosus" "Calomys_expulsus" "Calomys_tener" "Caluromys_lanatus" "Caluromys_philander" "Carterodon_sulcidens" "Cavia_aperea" "Cavia_fulgida" "Cavia_magna" "Cerdocyon_thous" "Cerradomys_subflavus" "Chaetomys_subspinosus" "Chironectes_minimus" "Chrysocyon_brachyurus" "Clyomys_laticeps" "Coendou_insidiosus" "Coendou_prehensilis" "Coendou_speratus" "Coendou_spinosus" "Conepatus_chinga" "Conepatus_semistriatus" "Ctenomys_minutus" "Ctenomys_torquatus" "Cuniculus_paca" "Cyclopes_didactylus" "Dasyprocta_azarae" "Dasyprocta_leporina" "Dasypus_novemcinctus" "Delomys_dorsalis" "Delomys_sublineatus" "Didelphis_albiventris" "Didelphis_aurita" "Drymoreomys_albimaculatus" "Eira_barbara" "Euphractus_sexcinctus" "Euryoryzomys_lamia" "Euryoryzomys_russatus" "Euryzygomatomys_spinosus" "Galea_spixii" "Galictis_cuja" "Galictis_vittata" "Gracilinanus_agilis" "Gracilinanus_microtarsus" "Holochilus_brasiliensis" "Holochilus_sciureus" "Hydrochoerus_hydrochaeris" "Hylaeamys_laticeps" "Hylaeamys_megacephalus" "Juliomys_pictipes" "Kannabateomys_amblyonyx" "Kerodon_rupestris" "Leontopithecus_chrysomelas" "Leontopithecus_rosalia" "Leopardus_colocolo" "Leopardus_pardalis" "Leopardus_tigrinus" "Leopardus_wiedii" "Lontra_longicaudis" "Lundomys_molitor" "Lutreolina_crassicaudata" "Marmosa_constantiae" "Marmosa_demerarae" "Marmosa_murina" "Marmosops_incanus" "Mazama_americana" "Mazama_bororo" "Mazama_gouazoubira" "Mazama_nana" "Metachirus_nudicaudatus" "Monodelphis_americana" "Monodelphis_dimidiata" "Monodelphis_domestica" "Monodelphis_iheringi" "Monodelphis_kunsi" "Monodelphis_scalops" "Myocastor_coypus" "Myrmecophaga_tridactyla" "Nasua_nasua" "Necromys_lasiurus" "Nectomys_squamipes" "Oecomys_bicolor" "Oecomys_catherinae" "Oligoryzomys_eliurus" "Oligoryzomys_flavescens" "Oligoryzomys_fornesi" "Oligoryzomys_nigripes" "Oligoryzomys_rupestris" "Oligoryzomys_stramineus" "Oxymycterus_dasytrichus" "Oxymycterus_delator" "Oxymycterus_nasutus" "Oxymycterus_quaestor" "Oxymycterus_rufus" "Ozotoceros_bezoarticus" "Panthera_onca" "Pecari_tajacu" "Philander_frenatus" "Phyllomys_blainvillii" "Phyllomys_dasythrix" "Phyllomys_lamarum" "Phyllomys_lundi" "Phyllomys_mantiqueirensis" "Phyllomys_nigrispinus" "Phyllomys_pattoni" "Potos_flavus" "Priodontes_maximus" "Procyon_cancrivorus" "Proechimys_longicaudatus" "Pseudalopex_gymnocercus" "Pseudalopex_vetulus" "Pseudoryzomys_simplex" "Pteronura_brasiliensis" "Puma_concolor" "Rhagomys_rufescens" "Rhipidomys_macrurus" "Rhipidomys_mastacalis" "Sapajus_flavius" "Sapajus_libidinosus" "Sapajus_nigritus" "Sapajus_robustus" "Sapajus_xanthosternos" "Scapteromys_tumidus" "Sciurus_aestuans" "Sooretamys_angouya" "Speothos_venaticus" "Sylvilagus_brasiliensis" "Tamandua_tetradactyla" "Tapirus_terrestris" "Tayassu_pecari" "Thalpomys_lasiotis" "Thaptomys_nigrita" "Thrichomys_apereoides" "Thrichomys_laurentius" "Thylamys_karimii" "Thylamys_velutinus" "Trinomys_albispinus" "Trinomys_dimidiatus" "Trinomys_eliasi" "Trinomys_iheringi" "Trinomys_moojeni" "Trinomys_setosus" "Wiedomys_pyrrhorhinos"
"1" 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"5" 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"10" 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
