"Acratosaura_spinosa" "Ameiva_ameiva" "Ameivula_abaetensis" "Ameivula_cipoensis" "Ameivula_littoralis" "Ameivula_nativo" "Ameivula_ocellifera" "Amerotyphlops_brongersmianus" "Amerotyphlops_paucisquamus" "Amerotyphlops_reticulatus" "Amphisbaena_alba" "Amphisbaena_dubia" "Amphisbaena_pretrei" "Amphisbaena_vermicularis" "Anisolepis_undulatus" "Anolis_brasiliensis" "Anolis_chrysolepis" "Anolis_fuscoauratus" "Anolis_meridionalis" "Anolis_nasofrontalis" "Anolis_pseudotigrinus" "Anolis_punctatus" "Anotosaura_collaris" "Anotosaura_vanzolinia" "Apostolepis_assimilis" "Apostolepis_cearensis" "Apostolepis_dimidiata" "Apostolepis_flavotorquata" "Aspronema_dorsivittatum" "Atractus_caete" "Atractus_francoi" "Atractus_guentheri" "Atractus_maculatus" "Atractus_pantostictus" "Atractus_paraguayensis" "Atractus_potschi" "Atractus_reticulatus" "Atractus_serranus" "Atractus_thalesdelemai" "Atractus_trihedrurus" "Atractus_zebrinus" "Bachia_bresslaui" "Boa_constrictor" "Boiruna_maculata" "Boiruna_sertaneja" "Bothrops_bilineata" "Bothrops_cotiara" "Bothrops_diporus" "Bothrops_erythromelas" "Bothrops_fonsecai" "Bothrops_itapetiningae" "Bothrops_jararaca" "Bothrops_jararacussu" "Bothrops_leucurus" "Bothrops_lutzi" "Bothrops_marmoratus" "Bothrops_matogrossensis" "Bothrops_moojeni" "Bothrops_muriciensis" "Bothrops_neuwiedi" "Bothrops_pauloensis" "Bothrops_pirajai" "Bothrops_pubescens" "Brasiliscincus_agilis" "Brasiliscincus_caissara" "Brasiliscincus_heathi" "Caaeteboia_amarali" "Caparaonia_itaiquara" "Cercosaura_ocellata" "Cercosaura_schreibersii" "Chironius_bicarinatus" "Chironius_carinatus" "Chironius_exoletus" "Chironius_flavolineatus" "Chironius_foveatus" "Chironius_fuscus" "Chironius_laevicollis" "Chironius_quadricarinatus" "Clelia_plumbea" "Coleodactylus_brachystoma" "Coleodactylus_meridionalis" "Coleodactylus_natalensis" "Colobosaura_modesta" "Contomastix_vacariensis" "Copeoglossum_nigropunctatum" "Corallus_cropanii" "Corallus_hortulanus" "Coronelaps_lepidus" "Dendrophidion_atlantica" "Dipsas_albifrons" "Dipsas_alternans" "Dipsas_catesbyi" "Dipsas_sazimai" "Dipsas_variegata" "Dryadosaura_nordestina" "Drymarchon_corais" "Drymoluber_dichrous" "Echinanthera_amoena" "Echinanthera_cephalomaculata" "Echinanthera_cephalostriata" "Echinanthera_cyanopleura" "Echinanthera_melanostigma" "Echinanthera_undulata" "Elapomorphus_quinquelineatus" "Elapomorphus_wuchereri" "Enyalius_bibronii" "Enyalius_bilineatus" "Enyalius_brasiliensis" "Enyalius_catenatus" "Enyalius_iheringii" "Enyalius_perditus" "Epicrates_assisi" "Epicrates_cenchria" "Epicrates_crassus" "Epictia_borapeliotes" "Epictia_munoai" "Erythrolamprus_almadensis" "Erythrolamprus_atraventer" "Erythrolamprus_frenatus" "Erythrolamprus_maryellenae" "Erythrolamprus_mossoroensis" "Erythrolamprus_semiaureus" "Erythrolamprus_taeniogaster" "Eunectes_murinus" "Eunectes_notaeus" "Eurolophosaurus_nanuzae" "Gomesophis_brasiliensis" "Gymnophthalmus_lineatus" "Helicops_angulatus" "Helicops_carinicaudus" "Helicops_infrataeniatus" "Helicops_leopardinus" "Helicops_modestus" "Hemidactylus_brasilianus" "Homonota_uruguayensis" "Hoplocercus_spinosus" "Hydrodynastes_gigas" "ID" "Imantodes_cenchoa" "Kentropyx_calcarata" "Kentropyx_paulensis" "Kentropyx_vanzoi" "Kentropyx_viridistriga" "Lachesis_muta" "Leposoma_puk" "Leptodeira_annulata" "Leptophis_ahaetulla" "Liolaemus_arambarensis" "Liolaemus_lutzae" "Liolaemus_occipitalis" "Liotyphlops_beui" "Liotyphlops_trefauti" "Liotyphlops_wilderi" "Lygophis_anomalus" "Lygophis_dilepis" "Lygophis_flavifrenatus" "Lygophis_meridionalis" "Mastigodryas_bifossatus" "Micrurus_altirostris" "Micrurus_corallinus" "Micrurus_decoratus" "Micrurus_frontalis" "Micrurus_ibiboboca" "Micrurus_lemniscatus" "Micrurus_potyguara" "Micrurus_silviae" "Mussurana_montana" "Mussurana_quimi" "Notomabuya_frenata" "Ophiodes_striatus" "Oxybelis_aeneus" "Oxyrhopus_clathratus" "Oxyrhopus_formosus" "Oxyrhopus_guibei" "Oxyrhopus_petolarius" "Oxyrhopus_trigeminus" "Paraphimophis_rusticus" "Phalotris_lemniscatus" "Phalotris_matogrossensis" "Phalotris_mertensi" "Philodryas_aestiva" "Philodryas_agassizii" "Philodryas_arnaldoi" "Philodryas_laticeps" "Philodryas_nattereri" "Philodryas_olfersii" "Philodryas_patagoniensis" "Philodryas_viridissima" "Phimophis_guerini" "Phyllopezus_lutzae" "Phyllopezus_periosus" "Phyllopezus_pollicaris" "Polychrus_acutirostris" "Polychrus_marmoratus" "Pseudoboa_haasi" "Pseudoboa_nigra" "Pseudoboa_serrana" "Psomophis_joberti" "Psomophis_obtusus" "Psychosaura_agmosticha" "Psychosaura_macrorhyncha" "Salvator_merianae" "Sibynomorphus_mikanii" "Sibynomorphus_neuwiedi" "Sibynomorphus_ventrimaculatus" "Simophis_rhinostoma" "Siphlophis_compressus" "Siphlophis_leucocephalus" "Siphlophis_longicaudatus" "Siphlophis_pulcher" "Sordellina_punctata" "Spilotes_pullatus" "Spilotes_sulphureus" "Stenocercus_azureus" "Stenocercus_caducus" "Strobilurus_torquatus" "Taeniophallus_affinis" "Taeniophallus_bilineatus" "Taeniophallus_occipitalis" "Taeniophallus_persimilis" "Taeniophallus_poecilopogon" "Tantilla_boipiranga" "Tantilla_melanocephala" "Teius_oculatus" "Thamnodynastes_hypoconia" "Thamnodynastes_longicaudus" "Thamnodynastes_pallidus" "Thamnodynastes_rutilus" "Thamnodynastes_strigatus" "Trilepida_jani" "Trilepida_koppesi" "Trilepida_salgueiroi" "Tropidodryas_serra" "Tropidodryas_striaticeps" "Tropidophis_grapiuna" "Tropidophis_paucisquamis" "Tropidophis_preciosus" "Tropidurus_catalanensis" "Tropidurus_erythrocephalus" "Tropidurus_etheridgei" "Tropidurus_guarani" "Tropidurus_hispidus" "Tropidurus_hygomi" "Tropidurus_itambere" "Tropidurus_montanus" "Tropidurus_oreadicus" "Tropidurus_semitaeniatus" "Tropidurus_torquatus" "Tupinambis_quadrilineatus" "Tupinambis_teguixin" "Uromacerina_ricardinii" "Urostrophus_vautieri" "Urotheca_lateristriga" "Vanzosaura_rubricauda" "Xenodon_dorbignyi" "Xenodon_histricus" "Xenodon_merremi" "Xenodon_nattereri" "Xenodon_neuwiedii" "Xenodon_rabdocephalus" "Xenodon_severus" "Xenopholis_scalaris" "Xenopholis_undulatus"
"1" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 31 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1
"2" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 32 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1
"3" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 33 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 1 0 0 0 0 0 1
"4" 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 42 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0
"5" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 76 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1
"6" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 77 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1
"7" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 78 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1
"8" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 79 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1
"9" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 87 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0
"10" 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 88 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0
