"sp" "Body_size_mm" "Diu" "Noc" "Crepu" "Fos" "Ter" "Aqu" "Arb"
"1" "Adelophryne_pachydactyla" "11.1" 0 1 0 0 1 1 0
"2" "Adenomera_ajurauna" "19" 0 1 0 1 0 0 0
"3" "Adenomera_araucaria" "19" 0 1 0 1 0 0 0
"4" "Adenomera_bokermanni" "22" 0 1 0 1 0 0 0
"5" "Adenomera_diptyx" "25" 1 1 0 1 1 0 0
"6" "Adenomera_hylaedactyla" "30" 1 1 0 1 1 0 0
"7" "Adenomera_marmorata" "21" 1 1 0 1 0 0 0
"9" "Adenomera_nana" "18" 0 1 0 1 0 0 0
"11" "Adenomera_thomei" "24" 0 1 0 1 0 0 0
"12" "Hylomantis_aspera" "44" 0 1 0 0 0 1 1
"13" "Hylomantis_granulosa" "48" 0 1 0 0 0 1 1
"14" "Allobates_olfersioides" "19" 1 0 0 0 1 1 0
"15" "Ameerega_flavopicta" "30.5" 1 0 0 0 1 0 0
"16" "Ameerega_picta" "24.4" 0 1 0 0 1 0 0
"19" "Aparasphenodon_brunoi" "81" 0 1 0 0 0 1 1
"20" "Aplastodiscus_albofrenatus" "41.6" 0 1 0 0 0 1 1
"21" "Aplastodiscus_albosignatus" "52" 0 1 0 0 0 1 1
"22" "Aplastodiscus_arildae" "41.6" 0 1 0 0 0 1 1
"23" "Aplastodiscus_callipygius" "51" 0 1 0 0 0 1 1
"24" "Aplastodiscus_cavicola" "37.3" 0 1 0 0 0 1 1
"25" "Aplastodiscus_cochranae" "50.3" 0 1 0 0 0 1 1
"26" "Aplastodiscus_ehrhardti" "39.1" 0 1 0 0 0 1 1
"27" "Aplastodiscus_eugenioi" "39" 0 1 0 0 0 1 1
"29" "Aplastodiscus_ibirapitanga" "43.4" 0 1 0 0 1 0 1
"30" "Aplastodiscus_leucopygius" "45.1" 0 1 0 0 1 1 1
"32" "Aplastodiscus_perviridis" "46.1" 0 1 0 0 1 1 1
"33" "Aplastodiscus_sibilatus" "33.6" 0 1 0 0 1 1 0
"34" "Aplastodiscus_weygoldti" "41.7" 0 1 0 0 1 0 1
"36" "Arcovomer_passarellii" "25.6" 0 1 0 0 1 1 0
"37" "Bokermannohyla_alvarengai" "140.9" 0 1 0 0 1 1 1
"38" "Bokermannohyla_astartea" "45" 0 1 0 0 1 1 1
"39" "Bokermannohyla_capra" "64.1" 0 1 0 0 1 0 1
"40" "Bokermannohyla_caramaschii" "70" 0 1 0 0 1 0 1
"41" "Bokermannohyla_carvalhoi" "67" 0 1 0 0 1 1 1
"42" "Bokermannohyla_circumdata" "71" 0 1 0 0 1 1 1
"45" "Bokermannohyla_gouveai" "69" 0 1 0 0 1 1 1
"46" "Bokermannohyla_hylax" "64" 0 1 0 0 1 1 1
"49" "Bokermannohyla_luctuosa" "61.9" 0 1 0 0 1 1 1
"50" "Bokermannohyla_martinsi" "64" 0 1 0 0 1 1 1
"51" "Bokermannohyla_nanuzae" "44" 0 1 0 0 1 1 1
"53" "Bokermannohyla_saxicola" "55" 0 1 0 0 1 1 1
"57" "Brachycephalus_didactylus" "10.7" 1 0 0 0 1 0 0
"58" "Brachycephalus_ephippium" "19.7" 1 0 0 0 1 0 0
"59" "Brachycephalus_ferruginus" "14.5" 1 0 0 0 1 0 0
"60" "Brachycephalus_hermogenesi" "10.5" 1 0 0 0 1 0 0
"61" "Brachycephalus_margaritatus" "18.9" 1 0 0 0 1 0 0
"64" "Brachycephalus_pombali" "15.3" 1 0 0 0 1 0 0
"66" "Brachycephalus_vertebralis" "15.1" 1 0 0 0 1 0 0
"67" "Ceratophrys_aurita" "149" 0 1 0 1 1 0 0
"70" "Chiasmocleis_albopunctata" "38" 0 1 0 1 1 1 0
"71" "Chiasmocleis_atlantica" "31.6" 0 1 0 1 1 1 0
"72" "Chiasmocleis_capixaba" "20.2" 0 1 0 1 1 1 0
"73" "Chiasmocleis_carvalhoi" "24.4" 0 1 0 1 1 1 0
"74" "Chiasmocleis_leucosticta" "23.6" 1 1 0 1 1 1 0
"77" "Chiasmocleis_schubarti" "34.5" 0 1 0 1 1 1 0
"78" "Corythomantis_greeningi" "86.5" 0 1 0 0 1 1 1
"79" "Crossodactylodes_bokermanni" "17" 0 1 0 0 0 1 1
"82" "Crossodactylus_aeneus" "31.7" 1 1 0 0 1 1 0
"83" "Crossodactylus_caramaschii" "27.2" 1 1 0 0 1 1 0
"84" "Crossodactylus_cyclospinus" "24.5" 1 0 0 0 1 1 0
"86" "Crossodactylus_dispar" "33.8" 1 0 0 0 1 1 0
"88" "Crossodactylus_gaudichaudii" "35.1" 1 1 0 0 1 1 0
"89" "Crossodactylus_grandis" "42" 1 0 0 0 1 1 0
"91" "Crossodactylus_schmidti" "33.3" 1 0 0 0 1 1 0
"93" "Crossodactylus_trachystomus" "25.8" 1 0 0 0 1 1 0
"95" "Cycloramphus_acangatan" "48.1" 0 1 0 1 1 0 0
"98" "Cycloramphus_bolitoglossus" "39.8" 0 1 0 0 1 0 0
"99" "Cycloramphus_boraceiensis" "59" 0 1 0 0 1 1 0
"100" "Cycloramphus_brasiliensis" "77.8" 0 1 0 0 1 1 0
"102" "Cycloramphus_catarinensis" "39.2" 0 1 0 0 1 1 0
"105" "Cycloramphus_dubius" "60.3" 0 1 0 0 1 1 0
"107" "Cycloramphus_eleutherodactylus" "58.3" 1 1 1 0 1 1 0
"109" "Cycloramphus_fuliginosus" "64.3" 0 1 0 0 1 1 0
"111" "Cycloramphus_izecksohni" "40" 0 1 0 0 1 1 0
"113" "Cycloramphus_lutzorum" "58" 1 1 1 0 1 1 0
"118" "Cycloramphus_semipalmatus" "50.9" 0 1 0 1 1 1 0
"121" "Dasypops_schirchi" "63.6" 0 1 0 1 1 1 0
"122" "Dendrophryniscus_berthalutzae" "24" 0 1 0 0 1 1 1
"123" "Dendrophryniscus_brevipollicatus" "25" 1 1 0 0 1 1 1
"125" "Dendrophryniscus_krausae" "23" 0 1 0 0 0 1 1
"126" "Dendrophryniscus_leucomystax" "25" 0 1 0 0 1 1 1
"127" "Dendrophryniscus_proboscideus" "41" 0 1 0 1 1 0 0
"130" "Dendropsophus_anceps" "42" 0 1 0 0 0 1 1
"131" "Dendropsophus_berthalutzae" "24" 0 1 0 0 1 1 1
"132" "Dendropsophus_bipunctatus" "30" 0 1 0 0 1 1 1
"133" "Dendropsophus_branneri" "25" 0 1 0 0 1 1 1
"135" "Dendropsophus_cruzi" "25" 0 1 0 0 1 1 1
"136" "Dendropsophus_decipiens" "21" 0 1 0 0 1 1 1
"138" "Dendropsophus_elegans" "35.7" 0 1 0 0 1 0 1
"139" "Dendropsophus_elianeae" "26" 0 1 0 0 1 1 1
"140" "Dendropsophus_giesleri" "35.9" 0 1 0 0 1 1 1
"141" "Dendropsophus_haddadi" "24" 0 1 0 0 1 1 1
"142" "Dendropsophus_jimi" "22.3" 0 1 0 0 1 1 1
"144" "Dendropsophus_meridianus" "24" 0 1 0 0 1 0 1
"145" "Dendropsophus_microps" "33" 0 1 0 0 1 1 1
"146" "Dendropsophus_minutus" "27.6" 0 1 0 0 1 0 1
"147" "Dendropsophus_nahdereri" "50.5" 1 1 0 0 1 1 1
"148" "Dendropsophus_nanus" "23.8" 1 1 1 0 1 1 1
"149" "Dendropsophus_novaisi" "36" 0 1 0 0 1 1 1
"150" "Dendropsophus_oliveirai" "20" 0 1 0 0 1 1 1
"151" "Dendropsophus_pseudomeridianus" "22.7" 0 1 0 0 1 0 0
"153" "Dendropsophus_rubicundulus" "25.4" 0 1 0 0 1 1 0
"154" "Dendropsophus_ruschii" "29" 0 1 0 0 1 1 1
"155" "Dendropsophus_sanborni" "21.1" 0 1 0 0 1 1 1
"156" "Dendropsophus_seniculus" "43" 0 1 0 0 1 0 1
"157" "Dendropsophus_soaresi" "33" 0 1 0 0 1 1 1
"158" "Dendropsophus_studerae" "29.6" 0 1 0 0 1 1 0
"159" "Dendropsophus_werneri" "23" 0 1 0 0 1 1 1
"160" "Dermatonotus_muelleri" "74.15" 0 1 0 1 1 1 0
"161" "Elachistocleis_bicolor" "43" 0 1 0 1 1 1 0
"162" "Elachistocleis_cesarii" "42.7" 0 1 0 1 1 1 0
"163" "Elachistocleis_erythrogaster" "37.6" 0 1 0 1 1 1 0
