"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"1" "Accipiter_poliogaster" "1369.41" 0 0 0 0 0 33 33 33 0
"2" "Accipiter_superciliosus" "99.51" 0 0 0 0 0 33 33 33 0
"3" "Acrobatornis_fonsecai" "13.7" 0 0 0 0 0 40 60 0 0
"4" "Aegolius_harrisii" "120" 1 0 0 80 20 0 0 0 0
"5" "Agelaioides_badius" "45.25" 0 0 0 50 30 20 0 0 0
"6" "Agelasticus_cyanopus" "37.21" 0 0 0 70 30 0 0 0 0
"7" "Agelasticus_thilius" "31.5" 0 0 0 70 30 0 0 0 0
"8" "Alectrurus_risora" "25" 0 0 0 0 80 20 0 0 0
"9" "Alectrurus_tricolor" "16" 0 0 0 0 80 20 0 0 0
"10" "Alipiopsitta_xanthops" "327.37" 0 0 0 0 0 60 40 0 0
"11" "Alopochelidon_fucata" "13.96" 0 0 0 0 80 20 0 0 0
"12" "Amazilia_fimbriata" "4.9" 0 0 0 0 80 20 0 0 0
"13" "Amazilia_lactea" "4.6" 0 0 0 0 30 30 30 10 0
"14" "Amazilia_leucogaster" "4.7" 0 0 0 0 80 20 0 0 0
"15" "Amazilia_versicolor" "4.1" 0 0 0 0 30 40 30 0 0
"16" "Amazona_aestiva" "451" 0 0 0 0 30 40 30 0 0
"17" "Amazona_amazonica" "370" 0 0 0 0 33 33 33 0 0
"18" "Amazona_brasiliensis" "327.37" 0 0 0 0 30 50 20 0 0
"19" "Amazona_farinosa" "625.99" 0 0 0 0 0 60 40 0 0
"20" "Amazona_pretrei" "272.76" 0 0 0 0 30 50 20 0 0
"21" "Amazona_rhodocorytha" "474.34" 0 0 0 0 0 80 20 0 0
"22" "Amazona_vinacea" "254" 0 0 0 0 30 40 30 0 0
"23" "Amazonetta_brasiliensis" "499.99" 0 0 20 80 0 0 0 0 0
"24" "Amblyramphus_holosericeus" "56.76" 0 0 0 100 0 0 0 0 0
"25" "Ammodramus_humeralis" "15.99" 0 0 0 60 30 10 0 0 0
"26" "Anabacerthia_amaurotis" "19.2" 0 0 0 20 60 20 0 0 0
"27" "Anabazenops_fuscus" "39" 0 0 0 10 20 70 0 0 0
"28" "Anhima_cornuta" "3150" 0 0 40 60 0 0 0 0 0
"29" "Anodorhynchus_hyacinthinus" "1331" 0 0 0 0 20 60 20 0 0
"30" "Anthracothorax_nigricollis" "7" 0 0 0 0 10 30 40 20 0
"31" "Anthus_chacoensis" "21.83" 0 0 0 100 0 0 0 0 0
"32" "Anthus_furcatus" "20.06" 0 0 0 80 10 10 0 0 0
"33" "Anthus_hellmayri" "18.61" 0 0 0 90 10 0 0 0 0
"34" "Anthus_lutescens" "12.6" 0 0 0 100 0 0 0 0 0
"35" "Anthus_nattereri" "19.5" 0 0 0 100 0 0 0 0 0
"36" "Antilophia_galeata" "21.48" 0 0 0 0 50 50 0 0 0
"37" "Anumbius_annumbi" "41.5" 0 0 0 50 50 0 0 0 0
"38" "Aphantochroa_cirrochloris" "7.7" 0 0 0 0 80 20 0 0 0
