"sp" "body_mass_g.avg." "fossorial" "ground_dwelling" "aboveground_dwelling" "aquatic" "cathemeral" "crepuscular" "diurnal" "nocturnal"
"1" "Akodon_cursor" "39.84" 0 1 0 0 0 0 0 1
"2" "Akodon_montensis" "44.1" 0 1 0 0 0 1 0 0
"3" "Akodon_paranaensis" "32.4" 0 1 0 0 0 1 0 0
"4" "Akodon_philipmyersi" "23" 0 1 0 0 0 0 0 1
"5" "Akodon_serrensis" "28.3" 0 1 0 0 0 0 1 1
"6" "Alouatta_belzebul" "6157.91" 0 0 1 0 0 0 1 0
"7" "Alouatta_caraya" "5576.96" 0 0 1 0 0 0 1 0
"8" "Alouatta_guariba" "5188.33" 0 0 1 0 0 0 1 0
"9" "Blarinomys_breviceps" "36.79" 1 1 0 0 0 0 0 1
"10" "Blastocerus_dichotomus" "112518.53" 0 1 0 0 0 0 1 0
"11" "Brachyteles_arachnoides" "10537.31" 0 0 1 0 0 0 1 0
"12" "Brachyteles_hypoxanthus" "8250" 0 0 1 0 0 0 1 0
"13" "Bradypus_torquatus" "4468.42" 0 0 1 0 0 0 0 1
"14" "Bradypus_variegatus" "4136.36" 0 0 1 0 1 0 0 0
"16" "Cabassous_unicinctus" "3987.97" 1 0 0 0 0 0 0 1
"18" "Callicebus_coimbrai" "1235" 0 0 1 0 0 0 1 0
"20" "Callicebus_nigrifrons" "1390.8" 0 0 1 0 0 0 1 0
"21" "Callicebus_personatus" "1390.8" 0 0 1 0 0 0 1 0
"22" "Callistomys_pictus" "518.99" 0 1 1 0 0 0 0 1
"23" "Callithrix_aurita" "386.2" 0 0 1 0 0 0 1 0
"25" "Callithrix_geoffroyi" "342" 0 0 1 0 0 0 1 0
"26" "Callithrix_jacchus" "290.21" 0 0 1 0 0 0 1 0
"27" "Callithrix_kuhlii" "374.99" 0 0 1 0 0 0 1 0
"28" "Callithrix_penicillata" "339.98" 0 0 1 0 0 0 1 0
"29" "Calomys_callosus" "44.95" 1 1 0 0 0 0 0 1
"30" "Calomys_expulsus" "39.86" 0 1 0 0 0 1 0 1
"31" "Calomys_tener" "13.8" 0 1 0 0 0 0 0 1
"32" "Caluromys_lanatus" "350.33" 0 0 1 0 0 0 0 1
"33" "Caluromys_philander" "265" 0 0 1 0 0 0 0 1
"34" "Carterodon_sulcidens" "113.8" 1 1 0 0 0 0 0 1
"35" "Cavia_aperea" "524.38" 0 1 0 0 1 0 0 0
"36" "Cavia_fulgida" "282.5" 0 1 0 0 0 0 1 1
"37" "Cavia_magna" "459.99" 0 1 0 0 0 1 1 0
"38" "Cerdocyon_thous" "5741.66" 0 1 0 0 0 0 0 1
"39" "Cerradomys_subflavus" "49.91" 0 1 1 0 0 0 0 1
"40" "Chaetomys_subspinosus" "1299.99" 0 0 1 0 0 0 1 1
"41" "Chironectes_minimus" "700" 1 1 0 1 0 0 0 1
"42" "Chrysocyon_brachyurus" "23325" 0 1 0 0 0 1 0 1
"43" "Clyomys_laticeps" "201" 1 1 0 0 0 0 0 1
"44" "Coendou_insidiosus" "998.32" 0 0 1 0 0 0 0 1
"45" "Coendou_prehensilis" "4116.2" 0 0 1 0 0 0 1 1
"46" "Coendou_speratus" "1437.5" 0 0 1 0 0 0 1 1
"47" "Coendou_spinosus" "750.78" 0 0 1 0 0 0 1 1
"48" "Conepatus_chinga" "3400" 0 1 0 0 0 0 0 1
"49" "Conepatus_semistriatus" "1997.34" 0 1 0 0 0 0 0 1
"50" "Ctenomys_minutus" "92" 1 0 0 0 0 0 0 1
"51" "Ctenomys_torquatus" "209.49" 1 0 0 0 0 0 1 1
"52" "Cuniculus_paca" "8172.55" 0 1 0 0 0 0 0 1
"53" "Cyclopes_didactylus" "263.95" 0 0 1 0 0 0 0 1
"54" "Dasyprocta_azarae" "2976.81" 0 1 0 0 0 0 1 0
"56" "Dasyprocta_leporina" "3009.99" 0 1 0 0 0 0 1 0
"59" "Dasypus_novemcinctus" "3949.01" 1 1 0 0 0 1 0 1
"61" "Delomys_dorsalis" "67.5" 0 1 0 0 0 0 1 0
"62" "Delomys_sublineatus" "89.99" 0 1 0 0 0 0 1 0
"63" "Didelphis_albiventris" "850" 0 1 1 0 0 0 0 1
"64" "Didelphis_aurita" "1290" 0 1 1 0 0 0 0 1
"65" "Drymoreomys_albimaculatus" "57" 0 0 1 0 0 0 0 1
"66" "Eira_barbara" "4134.99" 0 1 1 0 0 0 0 1
"67" "Euphractus_sexcinctus" "4731.16" 1 1 0 0 0 0 1 0
"68" "Euryoryzomys_lamia" "60.5" 0 1 0 0 0 0 0 1
"69" "Euryoryzomys_russatus" "60.5" 0 1 0 0 0 0 0 1
"70" "Euryzygomatomys_spinosus" "187.49" 1 1 0 0 0 0 0 1
"71" "Galea_spixii" "360.61" 0 1 1 0 0 0 1 1
"72" "Galictis_cuja" "2000" 0 1 0 0 0 0 1 1
"73" "Galictis_vittata" "2300" 0 1 0 0 0 0 1 1
"74" "Gracilinanus_agilis" "22.03" 0 1 1 0 0 0 0 1
"75" "Gracilinanus_microtarsus" "29.3" 0 1 1 0 0 0 0 1
"76" "Holochilus_brasiliensis" "155" 1 1 0 1 0 0 0 1
"77" "Holochilus_sciureus" "120.42" 0 1 0 1 0 0 1 1
"78" "Hydrochoerus_hydrochaeris" "48144.91" 0 1 0 1 0 0 1 1
"79" "Hylaeamys_laticeps" "49.11" 0 1 0 0 0 0 0 1
"80" "Hylaeamys_megacephalus" "57" 0 1 0 0 0 0 0 1
"82" "Juliomys_pictipes" "22.9" 0 1 1 0 0 0 0 1
"83" "Kannabateomys_amblyonyx" "599.99" 0 0 1 0 0 0 0 1
"84" "Kerodon_rupestris" "799.15" 0 1 1 0 1 0 0 0
"86" "Leontopithecus_chrysomelas" "572.8" 0 0 1 0 0 0 1 0
"88" "Leontopithecus_rosalia" "592.52" 0 0 1 0 0 0 1 0
"89" "Leopardus_colocolo" "6000" 0 1 0 0 0 0 1 1
"92" "Leopardus_pardalis" "11880" 0 1 0 0 0 0 0 1
"93" "Leopardus_tigrinus" "22500" 0 1 0 0 1 0 0 0
"94" "Leopardus_wiedii" "3270.81" 0 1 1 0 1 0 0 0
"95" "Lontra_longicaudis" "6554.97" 0 1 0 1 0 1 1 0
"96" "Lundomys_molitor" "238.49" 0 1 0 1 0 0 0 1
"97" "Lutreolina_crassicaudata" "638" 0 1 1 1 0 0 0 1
"100" "Marmosa_constantiae" "92.69" 0 0 1 0 0 0 0 1
"101" "Marmosa_demerarae" "102.28" 0 1 1 0 0 0 0 1
"102" "Marmosa_murina" "28.5" 0 1 1 0 0 0 0 1
"104" "Marmosops_incanus" "59.88" 0 1 1 0 0 0 0 1
"105" "Mazama_americana" "20546.86" 0 1 0 0 0 0 1 0
"106" "Mazama_bororo" "25000" 0 1 0 0 0 1 0 1
"107" "Mazama_gouazoubira" "16633.17" 0 1 0 0 0 0 1 0
"108" "Mazama_nana" "16499.85" 0 1 0 0 0 1 0 1
"109" "Metachirus_nudicaudatus" "286.5" 0 1 0 0 0 0 0 1
"110" "Monodelphis_americana" "19.5" 0 1 0 0 0 1 1 0
"111" "Monodelphis_dimidiata" "52" 0 1 1 0 1 0 0 0
"112" "Monodelphis_domestica" "107.5" 0 1 0 0 0 0 0 1
"113" "Monodelphis_iheringi" "112" 0 1 0 0 0 0 0 1
"114" "Monodelphis_kunsi" "18.75" 0 1 0 0 0 0 0 1
"115" "Monodelphis_scalops" "763.19" 0 1 0 0 0 1 0 1
"117" "Myocastor_coypus" "6361.55" 0 1 0 1 0 0 1 1
"118" "Myrmecophaga_tridactyla" "29531.83" 0 0 1 0 0 0 0 1
"119" "Nasua_nasua" "3775.5" 0 1 1 0 0 0 1 0
"120" "Necromys_lasiurus" "39.93" 1 1 0 0 0 0 1 0
"122" "Nectomys_squamipes" "184.98" 0 1 0 1 0 0 0 1
"123" "Oecomys_bicolor" "40.74" 0 1 1 0 0 0 0 1
"124" "Oecomys_catherinae" "70" 0 1 1 0 0 0 0 1
"125" "Oligoryzomys_eliurus" "34.58" 0 1 0 0 0 0 0 1
"126" "Oligoryzomys_flavescens" "21.3" 0 1 0 0 0 0 0 1
"127" "Oligoryzomys_fornesi" "14" 0 1 0 0 0 1 0 1
"128" "Oligoryzomys_nigripes" "20.33" 0 1 0 0 0 1 0 1
"129" "Oligoryzomys_rupestris" "13.8" 0 1 0 0 0 1 0 1
"130" "Oligoryzomys_stramineus" "27.1" 0 1 0 0 0 1 0 1
"132" "Oxymycterus_dasytrichus" "94.9" 1 1 0 0 0 0 0 1
"133" "Oxymycterus_delator" "81.49" 1 1 0 0 0 0 1 1
"135" "Oxymycterus_nasutus" "67.99" 1 1 0 0 0 0 0 1
"136" "Oxymycterus_quaestor" "45.5" 1 1 0 0 0 0 0 1
"138" "Oxymycterus_rufus" "82.01" 1 1 0 0 0 0 1 1
"139" "Ozotoceros_bezoarticus" "34620.4" 0 1 0 0 0 0 1 1
"140" "Panthera_onca" "83943.09" 0 1 0 0 0 1 0 1
"141" "Pecari_tajacu" "21133.69" 0 1 0 0 0 1 0 1
"143" "Philander_frenatus" "625.5" 0 1 1 0 0 0 0 1
"144" "Phyllomys_blainvillii" "243.3" 0 0 1 0 0 0 0 1
"145" "Phyllomys_dasythrix" "260" 0 0 1 0 0 0 0 1
"147" "Phyllomys_lamarum" "215.19" 0 0 1 0 0 0 0 1
"148" "Phyllomys_lundi" "173.5" 0 0 1 0 0 0 0 1
"149" "Phyllomys_mantiqueirensis" "207" 0 0 1 0 0 0 0 1
"151" "Phyllomys_nigrispinus" "224.3" 0 0 1 0 0 0 0 1
"152" "Phyllomys_pattoni" "212.3" 0 0 1 0 0 0 0 1
"155" "Potos_flavus" "2441.81" 0 0 1 0 0 0 0 1
"156" "Priodontes_maximus" "40641.89" 1 0 0 0 0 0 0 1
"157" "Procyon_cancrivorus" "6931.72" 0 1 0 0 0 0 0 1
"158" "Proechimys_longicaudatus" "205" 0 1 0 0 0 0 0 1
"98" "Pseudalopex_gymnocercus" "4542.67" 0 1 0 0 0 0 0 1
"99" "Pseudalopex_vetulus" "4233.47" 0 1 0 0 0 1 0 1
"159" "Pseudoryzomys_simplex" "45.2" 0 1 0 1 0 0 0 1
"160" "Pteronura_brasiliensis" "26000" 0 0 0 1 0 0 1 0
"161" "Puma_concolor" "53954.05" 0 1 0 0 0 0 0 1
"163" "Rhagomys_rufescens" "21.2" 0 1 1 0 0 0 0 1
"164" "Rhipidomys_macrurus" "30" 0 0 1 0 0 0 0 1
"165" "Rhipidomys_mastacalis" "100" 0 0 1 0 0 0 0 1
"167" "Sapajus_flavius" "2400" 0 0 1 0 0 0 1 0
"168" "Sapajus_libidinosus" "2851.29" 0 0 1 0 0 0 1 0
"169" "Sapajus_nigritus" "2851.29" 0 0 1 0 0 0 1 0
"170" "Sapajus_robustus" "2851.29" 0 0 1 0 0 0 1 0
"171" "Sapajus_xanthosternos" "3050" 0 0 1 0 0 0 1 0
"172" "Scapteromys_tumidus" "146" 0 1 0 1 1 0 0 0
"173" "Sciurus_aestuans" "177.34" 0 1 1 0 0 0 1 0
"174" "Sooretamys_angouya" "120.17" 0 1 1 0 0 0 0 1
"175" "Speothos_venaticus" "6324.54" 0 1 0 0 0 0 1 0
"176" "Sylvilagus_brasiliensis" "863.5" 0 1 0 0 0 1 0 1
"177" "Tamandua_tetradactyla" "4800" 0 1 1 0 1 0 0 0
"178" "Tapirus_terrestris" "169496.64" 0 1 0 0 0 0 0 1
"179" "Tayassu_pecari" "31798.71" 0 1 0 0 0 0 1 0
"180" "Thalpomys_lasiotis" "23.99" 0 1 0 0 0 0 0 1
"181" "Thaptomys_nigrita" "19.9" 1 1 0 0 0 0 1 1
"182" "Thrichomys_apereoides" "297.53" 1 1 1 0 0 1 0 1
"183" "Thrichomys_laurentius" "404.3" 0 1 1 0 0 0 1 1
"184" "Thylamys_karimii" "26.76" 0 0 1 0 0 1 0 1
"185" "Thylamys_velutinus" "20.69" 0 0 1 0 0 0 0 1
"187" "Trinomys_albispinus" "284.99" 0 1 0 0 0 0 0 1
"188" "Trinomys_dimidiatus" "167.6" 0 1 0 0 0 0 0 1
"189" "Trinomys_eliasi" "229" 0 1 0 0 0 1 0 1
"190" "Trinomys_iheringi" "220.39" 0 1 0 0 0 0 0 1
"191" "Trinomys_moojeni" "170" 0 1 0 0 0 0 0 1
"192" "Trinomys_setosus" "284.99" 0 1 0 0 0 0 0 1
"193" "Wiedomys_pyrrhorhinos" "46.7" 0 1 1 0 0 0 0 1
