sp;body_mass_g.avg.;fossorial;ground_dwelling;aboveground_dwelling;aquatic;cathemeral;crepuscular;diurnal;nocturnal;area_m2;Littersize;LittersPerYear;foraging_stratum;activity_cycle
Abrawayaomys_chebezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;52828725502;NA;NA;NA;NA
Abrawayaomys_ruschii;62.99;0;1;0;0;NA;NA;NA;NA;50734004846;NA;NA;G;NA
Akodon_azarae;25.27;1;1;0;0;0;0;1;1;1.23E+12;4.59;1.25;G;2
Akodon_cursor;39.84;0;1;0;0;0;0;0;1;8.24E+11;3.5;NA;G;2
Akodon_lindberghi;26.4;0;1;0;0;NA;NA;NA;NA;1.66E+11;2.72;NA;G;2
Akodon_montensis;44.1;0;1;0;0;0;1;0;0;1.05E+12;3;NA;G;2
Akodon_mystax;19;0;1;0;0;NA;NA;NA;NA;17695272821;NA;NA;G;2
Akodon_paranaensis;32.4;0;1;0;0;0;1;0;0;4.83E+11;NA;NA;G;2
Akodon_philipmyersi;23;0;1;0;0;0;0;0;1;6207958219;3;NA;NA;NA
Akodon_sanctipaulensis;27.1;0;1;0;0;NA;NA;NA;NA;23692999295;NA;NA;G;2
Akodon_serrensis;28.3;0;1;0;0;0;0;1;1;2.76E+11;NA;NA;G;2
Alouatta_belzebul;6157.91;0;0;1;0;0;0;1;0;8.64E+11;1;1;Ar;3
Alouatta_belzebul;6157.91;0;0;1;0;0;0;1;0;8.64E+11;1;1;Ar;3
Alouatta_caraya;5576.96;0;0;1;0;0;0;1;0;3.06E+12;1.01;1;Ar;3
Alouatta_guariba;5188.33;0;0;1;0;0;0;1;0;9.14E+11;1;1;Ar;3
Alouatta_guariba;5188.33;0;0;1;0;0;0;1;0;27004861017;1;1;Ar;3
Bibimys_chacoensis;28;0;1;0;0;NA;NA;NA;NA;27945413158;NA;NA;G;1
Bibimys_labiosus;30;0;1;0;0;NA;NA;NA;NA;3.62E+11;NA;NA;G;1
Blarinomys_breviceps;36.79;1;1;0;0;0;0;0;1;4.37E+11;1.21;NA;G;NA
Blastocerus_dichotomus;112518.53;0;1;0;0;0;0;1;0;4.35E+11;0.98;1;G;2
Blastocerus_dichotomus;112518.53;0;1;0;0;0;0;1;0;3.80E+12;0.98;1;G;2
Brachyteles_arachnoides;10537.31;0;0;1;0;0;0;1;0;73235720910;1.02;0.3;Ar;2
Brachyteles_hypoxanthus;8250;0;0;1;0;0;0;1;0;96657602284;1;0.33;Ar;2
Bradypus_torquatus;4468.42;0;0;1;0;0;0;0;1;75453760835;1;1;Ar;2
Bradypus_variegatus;4136.36;0;0;1;0;1;0;0;0;9.79E+12;1;1;Ar;2
Brucepattersonius_griserufescens;23.7;1;1;0;0;NA;NA;NA;NA;48591796413;NA;NA;G;NA
Brucepattersonius_griserufescens;23.7;1;1;0;0;NA;NA;NA;NA;48591796413;NA;NA;G;NA
