"V1" "V2" "id" "site_region" "mean_age_arrival"
"0" -55.399663561 -22.62276882 31 "1" 3.7974815840605
"1" -55.399663561 -23.12276882 32 "1" 3.6192741164378
"2" -55.399663561 -23.62276882 33 "4" 1.88659772439307
"3" -55.399663561 -28.12276882 42 "7" 2.81946622433452
"4" -54.899663561 -22.12276882 76 "4" 2.77705685745327
"5" -54.899663561 -22.62276882 77 "1" 3.36777049918192
"6" -54.899663561 -23.12276882 78 "4" 2.3785334691453
"7" -54.899663561 -23.62276882 79 "4" 2.06801312635524
"8" -54.899663561 -27.62276882 87 "1" 3.52350261170838
"9" -54.899663561 -28.12276882 88 "7" 2.54728885759291
"10" -54.399663561 -21.62276882 121 "4" 2.7038200898
"11" -54.399663561 -22.12276882 122 "4" 2.54792628655338
"12" -54.399663561 -22.62276882 123 "4" 2.26424562608342
"13" -54.399663561 -23.12276882 124 "4" 2.15607815736064
"14" -54.399663561 -23.62276882 125 "4" 1.81901013992487
"15" -54.399663561 -24.12276882 126 "4" 1.84131291002512
"16" -54.399663561 -24.62276882 127 "1" 2.7530298517795
"17" -54.399663561 -25.12276882 128 "1" 2.7530298517795
"18" -54.399663561 -25.62276882 129 "1" 3.00820374759213
"19" -54.399663561 -27.62276882 133 "7" 2.55606663205467
"20" -54.399663561 -28.12276882 134 "7" 2.76153838767082
"21" -53.899663561 -22.12276882 168 "4" 2.24632270038492
"22" -53.899663561 -22.62276882 169 "4" 2.10701329093874
"23" -53.899663561 -23.12276882 170 "4" 1.95749041222696
"24" -53.899663561 -23.62276882 171 "4" 1.97982418724995
"25" -53.899663561 -24.12276882 172 "4" 1.80542715569382
"26" -53.899663561 -24.62276882 173 "1" 2.89154204557973
"27" -53.899663561 -25.12276882 174 "1" 2.878344209057
"28" -53.899663561 -25.62276882 175 "1" 3.24811386243077
"29" -53.899663561 -26.12276882 176 "1" 3.26816333071738
"30" -53.899663561 -26.62276882 177 "1" 3.43172949043343
"31" -53.899663561 -27.12276882 178 "1" 3.78189576496745
"32" -53.899663561 -27.62276882 179 "7" 2.25584954845497
"33" -53.899663561 -28.12276882 180 "7" 2.44217227319044
"34" -53.899663561 -29.62276882 183 "7" 3.23251830376308
"35" -53.399663561 -22.12276882 214 "4" 2.21490699828164
"36" -53.399663561 -22.62276882 215 "4" 1.9869056646307
"37" -53.399663561 -23.12276882 216 "4" 1.94296344099652
"38" -53.399663561 -23.62276882 217 "4" 2.00138963950311
"39" -53.399663561 -24.12276882 218 "1" 3.53854980536762
"40" -53.399663561 -24.62276882 219 "1" 3.02884063828874
"41" -53.399663561 -25.12276882 220 "1" 3.18123659436478
"42" -53.399663561 -25.62276882 221 "1" 3.65749458848826
"43" -53.399663561 -26.12276882 222 "1" 3.7062598496681
"44" -53.399663561 -26.62276882 223 "1" 3.91505758767757
"45" -53.399663561 -27.12276882 224 "7" 1.64088333457432
"46" -53.399663561 -27.62276882 225 "7" 2.25584954845497
"47" -53.399663561 -29.12276882 228 "7" 3.13949744650954
"48" -53.399663561 -29.62276882 229 "7" 3.53001879711487
"49" -52.899663561 -22.12276882 260 "4" 2.13647845288043
"50" -52.899663561 -22.62276882 261 "4" 1.90384538513753
"51" -52.899663561 -23.12276882 262 "4" 1.9699476554548
"52" -52.899663561 -23.62276882 263 "4" 1.80648558951276
"53" -52.899663561 -24.12276882 264 "1" 3.69059793827247
"54" -52.899663561 -24.62276882 265 "1" 3.28798614451125
"55" -52.899663561 -25.12276882 266 "1" 3.22309365481695
"56" -52.899663561 -25.62276882 267 "1" 3.37868645194605
"57" -52.899663561 -26.12276882 268 "1" 3.94282324432777
"58" -52.899663561 -26.62276882 269 "1" 3.89952073409821
"59" -52.899663561 -27.12276882 270 "7" 1.84872309513537
"60" -52.899663561 -27.62276882 271 "7" 2.44845143789745
"61" -52.899663561 -28.12276882 272 "7" 3.01383866203877
"62" -52.899663561 -28.62276882 273 "7" 2.91877918746614
"63" -52.899663561 -29.12276882 274 "7" 2.89175438017479
"64" -52.899663561 -29.62276882 275 "7" 3.43104911121445
"65" -52.399663561 -22.12276882 306 "4" 2.12594450248645
"66" -52.399663561 -22.62276882 307 "4" 1.80812813897582
"67" -52.399663561 -23.12276882 308 "4" 1.75898969011256
"68" -52.399663561 -23.62276882 309 "4" 1.69793815448551
"69" -52.399663561 -24.12276882 310 "1" 3.73958814060096
"70" -52.399663561 -24.62276882 311 "1" 3.71482331847777
"71" -52.399663561 -25.12276882 312 "1" 3.28798614451125
"72" -52.399663561 -25.62276882 313 "1" 3.21484251021916
"73" -52.399663561 -26.12276882 314 "1" 2.8303378588639
"74" -52.399663561 -26.62276882 315 "1" 3.48064548712213
"75" -52.399663561 -27.12276882 316 "7" 1.80880847883439
"76" -52.399663561 -27.62276882 317 "7" 2.01688998524897
"77" -52.399663561 -28.12276882 318 "7" 2.58430171616644
"78" -52.399663561 -28.62276882 319 "7" 2.82193275263274
"79" -52.399663561 -29.12276882 320 "7" 2.63366073994777
"80" -52.399663561 -29.62276882 321 "7" 3.23121659836475
"81" -51.899663561 -21.12276882 350 "4" 2.78642203134265
"82" -51.899663561 -21.62276882 351 "4" 2.53255381154949
"83" -51.899663561 -22.12276882 352 "4" 2.46552820182022
"84" -51.899663561 -22.62276882 353 "4" 1.84553561771325
"85" -51.899663561 -23.12276882 354 "4" 1.7340623705384
"86" -51.899663561 -23.62276882 355 "4" 1.7827173580718
"87" -51.899663561 -24.12276882 356 "1" 3.21369921540328
"88" -51.899663561 -24.62276882 357 "1" 3.38978684364455
"89" -51.899663561 -25.12276882 358 "1" 2.674514346117
"90" -51.899663561 -25.62276882 359 "1" 2.74984996150058
"91" -51.899663561 -26.12276882 360 "1" 2.8303378588639
"92" -51.899663561 -26.62276882 361 "1" 3.00317681207697
"93" -51.899663561 -27.12276882 362 "1" 2.9618825394397
"94" -51.899663561 -27.62276882 363 "7" 2.07189334848303
"95" -51.899663561 -28.12276882 364 "7" 2.58430171616644
"96" -51.899663561 -28.62276882 365 "7" 2.75761237211637
"97" -51.899663561 -29.12276882 366 "7" 2.54205862725393
