sp;Body_size_mm;Diu;Noc;Crepu;Fos;Ter;Aqu;Arb;area_m;Brood.Size
Adelophryne_pachydactyla;11.1;0;1;0;0;1;1;0;5796998847.00;NA
Adenomera_ajurauna;19;0;1;0;1;0;0;0;228603342.50;NA
Adenomera_araucaria;19;0;1;0;1;0;0;0;3941478177.00;9.49
Adenomera_bokermanni;22;0;1;0;1;0;0;0;229000000000.00;18
Adenomera_diptyx;25;1;1;0;1;1;0;0;455000000000.00;49.82
Adenomera_hylaedactyla;30;1;1;0;1;1;0;0;9400000000000.00;12.65
Adenomera_marmorata;21;1;1;0;1;0;0;0;227000000000.00;5.29
Adenomera_martinezi;25.7;0;1;0;1;1;0;0;674000000000.00;10.95
Adenomera_nana;18;0;1;0;1;0;0;0;13933373047.00;NA
Adenomera_saci;24.2;0;1;1;1;0;0;0;576000000000.00;NA
Adenomera_thomei;24;0;1;0;1;0;0;0;5933374825.00;NA
Agalychnis_aspera;44;0;1;0;0;0;1;1;7786827036.00;60
Agalychnis_granulosa;48;0;1;0;0;0;1;1;19035406445.00;37.52
Allobates_olfersioides;19;1;0;0;0;1;1;0;256000000000.00;7.42
Ameerega_flavopicta;30.5;1;0;0;0;1;0;0;902000000000.00;23.62
Ameerega_picta;24.4;0;1;0;0;1;0;0;477273128.20;11.14
Aparasphenodon_ararapa;45;0;1;0;0;1;1;1;444106631.80;NA
Aparasphenodon_bokermanni;81;0;1;0;0;1;1;1;32667119.42;NA
Aparasphenodon_brunoi;81;0;1;0;0;0;1;1;249000000000.00;NA
Aplastodiscus_albofrenatus;41.6;0;1;0;0;0;1;1;16180859844.00;NA
Aplastodiscus_albosignatus;52;0;1;0;0;0;1;1;61185657334.00;NA
Aplastodiscus_arildae;41.6;0;1;0;0;0;1;1;162000000000.00;307
Aplastodiscus_callipygius;51;0;1;0;0;0;1;1;9474973922.00;NA
Aplastodiscus_cavicola;37.3;0;1;0;0;0;1;1;22877009568.00;NA
Aplastodiscus_cochranae;50.3;0;1;0;0;0;1;1;7499549165.00;328.91
Aplastodiscus_ehrhardti;39.1;0;1;0;0;0;1;1;20034240294.00;NA
